Rank,Team,Part,Pld,W,D,L,GF,GA,GD,Pts
1,Egypt  [n 1],25,107,60,20,27,168,90,+78,200
2,Ghana,23,102,54,21,27,133,87,+46,183
3,Nigeria,19,97,53,22,22,137,91,+46,181
4,Cameroon,20,91,45,30,16,137,82,+55,165
5,Ivory Coast,24,99,44,30,25,143,101,+42,162
6,Algeria,19,77,28,22,27,94,89,+5,106
7,Morocco,18,70,27,24,19,82,63,+19,105
8,Tunisia,20,80,25,29,26,99,94,+5,104
9,Senegal,16,67,27,17,23,78,56,+22,98
10,Zambia,17,67,26,20,21,81,69,+12,98
11,DR Congo  [n 2],19,73,20,24,29,88,102,−14,84
12,Mali,12,54,19,19,16,65,65,0,76
13,South Africa,10,42,16,13,14,48,45,+3,61
14,Guinea,13,47,13,17,17,61,66,−5,56
15,Burkina Faso  [n 3],12,48,9,16,23,47,72,−25,43
16,Gabon,8,25,7,10,8,24,27,−3,31
17,Sudan,9,27,7,7,13,29,42,−13,28
18,Congo,7,26,7,7,12,27,40,−13,28
19,Ethiopia,11,30,7,4,19,31,67,−36,25
20,Angola,8,26,4,12,10,30,39,−9,24
21,Equatorial Guinea,3,15,6,4,5,11,14,−3,22
22,Togo,8,25,3,8,14,19,42,−23,17
23,Uganda,7,23,4,3,16,21,38,−17,15
24,Libya,3,11,3,5,3,12,13,−1,14
25,Cape Verde,3,11,2,6,3,6,9,−3,12
26,Zimbabwe,5,15,3,2,10,16,31,−15,11
27,Gambia,1,5,3,1,1,4,3,+1,10
28,Kenya,6,17,2,4,11,12,31,−19,10
29,Madagascar,1,5,2,2,1,7,7,0,8
30,Malawi,3,10,2,2,6,9,15,−6,8
31,Sierra Leone,3,8,1,3,4,4,14,−10,6
32,Liberia,2,5,1,2,2,5,7,−2,5
33,Benin,4,14,0,5,9,7,24,−17,5
34,Rwanda,1,3,1,1,1,3,3,0,4
35,Comoros,1,4,1,0,3,4,7,−3,3
36,Guinea-Bissau,3,9,0,3,6,2,12,−10,3
37,Mauritania,2,6,0,2,4,1,11,−10,2
38,Namibia,3,9,0,2,7,10,24,−14,2
39,Mozambique,4,12,0,2,10,4,26,−22,2
40,Niger,2,6,0,1,5,1,9,−8,1
41,Tanzania,2,6,0,1,5,5,14,−9,1
42,Burundi,1,3,0,0,3,0,4,−4,0
43,Mauritius,1,3,0,0,3,2,8,−6,0
44,Botswana,1,3,0,0,3,2,9,−7,0
